地震の発生日,地震の発生時刻,震央地名,緯度,経度,深さ,Ｍ,最大震度
2017/07/12,13:35:23.4,鳥取県中部,35°23.5′N,133°51.4′E,5 km,3.0,震度３
2017/07/12,10:54:34.3,宮城県沖,38°15.8′N,141°36.1′E,54 km,4.4,震度３
2017/07/11,11:56:35.4,鹿児島湾,31°23.0′N,130°37.2′E,10 km,5.3,震度５強
2017/07/07,21:48:35.8,福島県沖,37°45.7′N,141°05.3′E,66 km,4.9,震度４
2017/07/02,00:58:22.7,熊本県阿蘇地方,33°00.2′N,131°14.2′E,11 km,4.5,震度５弱
2017/07/01,23:45:52.9,胆振地方中東部,42°47.2′N,141°51.5′E,27 km,5.1,震度５弱
2017/06/30,23:04:02.4,宮古島北西沖,25°41.2′N,125°11.5′E,98 km,5.2,震度３
2017/06/30,15:52:51.6,熊本県熊本地方,32°32.0′N,130°36.4′E,8 km,3.5,震度３
2017/06/28,21:07:32.1,北海道東方沖,43°33.7′N,147°49.9′E,31 km,5.7,震度３
2017/06/27,08:40:33.1,長野県南部,35°51.9′N,137°35.6′E,7 km,3.3,震度３
2017/06/27,02:09:44.7,長野県南部,35°51.8′N,137°33.7′E,5 km,3.3,震度３
2017/06/26,00:38:55.3,長野県南部,35°52.2′N,137°34.3′E,5 km,3.5,震度３
2017/06/25,23:29:20.6,長野県南部,35°52.3′N,137°34.7′E,6 km,3.6,震度３
2017/06/25,23:13:48.6,長野県南部,35°52.3′N,137°34.8′E,6 km,3.6,震度３
2017/06/25,15:17:14.6,長野県南部,35°51.4′N,137°35.0′E,7 km,4.7,震度４
2017/06/25,09:48:42.7,長野県南部,35°51.5′N,137°34.1′E,6 km,3.5,震度３
2017/06/25,09:24:05.4,長野県南部,35°51.8′N,137°34.0′E,6 km,4.5,震度４
2017/06/25,07:02:15.3,長野県南部,35°52.0′N,137°35.1′E,7 km,5.6,震度５強
2017/06/23,08:59:00.4,岩手県沖,39°20.3′N,142°03.6′E,48 km,4.5,震度３
2017/06/20,23:27:41.4,豊後水道,32°52.0′N,132°01.8′E,42 km,5.0,震度５強
2017/06/19,05:51:29.3,福島県中通り,37°05.1′N,140°36.2′E,6 km,4.5,震度３
2017/06/19,01:23:48.9,茨城県南部,36°20.6′N,140°03.2′E,72 km,3.8,震度３
2017/06/16,22:39:51.3,日向灘,31°53.2′N,131°49.9′E,28 km,4.6,震度３
2017/06/14,19:24:33.4,高知県中部,33°48.0′N,133°25.7′E,38 km,4.5,震度３
2017/06/09,23:36:23.7,橘湾,32°43.0′N,130°01.6′E,16 km,4.3,震度４
2017/06/08,09:25:29.9,千葉県東方沖,35°38.9′N,140°40.5′E,51 km,4.7,震度３
2017/06/05,15:40:17.8,栃木県北部,36°38.9′N,139°26.2′E,5 km,3.4,震度３
2017/06/04,11:09:58.1,千葉県北東部,35°27.2′N,140°24.9′E,30 km,3.8,震度３
2017/06/04,09:56:13.3,千葉県北東部,35°27.7′N,140°24.9′E,30 km,4.4,震度３
2017/05/27,20:59:38.8,長野県北部,36°44.1′N,138°32.0′E,0 km,4.4,震度３
2017/05/22,20:00:58.8,北海道東方沖,43°38.8′N,147°37.9′E,35 km,5.7,震度３
2017/05/12,05:54:27.1,宮古島近海,24°48.5′N,125°22.3′E,49 km,4.3,震度３
2017/05/11,20:21:25.1,有明海,32°44.0′N,130°36.2′E,13 km,4.4,震度４
2017/05/09,10:54:15.2,宮古島近海,24°22.6′N,126°19.5′E,79 km,6.4,震度３
2017/05/07,21:36:24.9,熊本県熊本地方,32°36.1′N,130°44.0′E,9 km,2.9,震度３
2017/05/07,12:32:37.7,長野県中部,36°09.3′N,138°01.5′E,9 km,3.8,震度３
2017/05/04,14:22:25.3,熊本県熊本地方,32°40.9′N,130°45.3′E,11 km,4.1,震度４
2017/04/30,23:42:35.9,十勝地方南部,42°19.3′N,143°04.2′E,53 km,5.4,震度４
2017/04/30,07:41:38.0,石垣島近海,24°26.0′N,124°10.6′E,15 km,4.2,震度３
2017/04/29,21:32:32.9,大隅半島東方沖,30°46.6′N,131°28.9′E,44 km,5.6,震度３
2017/04/29,14:55:25.9,千葉県南部,35°15.2′N,140°17.1′E,13 km,3.7,震度３
2017/04/20,04:46:07.6,茨城県北部,36°41.7′N,140°35.4′E,9 km,4.2,震度４
2017/04/20,02:13:41.7,茨城県北部,36°42.1′N,140°38.5′E,6 km,4.5,震度４
2017/04/19,12:46:32.3,橘湾,32°43.3′N,130°01.4′E,16 km,4.2,震度３
2017/04/19,12:00:13.8,橘湾,32°43.1′N,130°01.6′E,16 km,3.1,震度３
2017/04/14,23:01:20.8,新潟県中越地方,36°49.0′N,138°43.7′E,5 km,3.9,震度３
2017/04/13,06:42:53.6,トカラ列島近海,29°34.4′N,129°41.1′E,7 km,3.4,震度３
2017/04/13,02:15:31.0,和歌山県北部,33°49.1′N,135°22.3′E,22 km,3.8,震度３
2017/04/12,03:10:49.2,茨城県南部,36°09.6′N,140°06.0′E,54 km,4.6,震度３
2017/04/09,21:39:48.8,熊本県熊本地方,32°46.0′N,130°46.1′E,8 km,3.6,震度３
2017/04/09,07:20:13.3,福島県沖,37°30.5′N,141°34.2′E,45 km,5.0,震度３
2017/04/08,20:42:57.6,鳥取県中部,35°23.7′N,133°54.6′E,8 km,3.2,震度３
2017/04/08,16:50:21.9,長野県南部,35°53.7′N,138°08.2′E,5 km,3.5,震度３
2017/04/06,19:05:07.1,新潟県中越地方,36°49.5′N,138°43.5′E,5 km,3.8,震度３
2017/04/04,10:08:44.3,長野県北部,36°26.6′N,137°50.1′E,4 km,2.8,震度３
2017/04/02,00:41:50.5,千葉県北東部,35°24.4′N,140°20.4′E,31 km,3.0,震度３
2017/04/01,20:28:29.5,茨城県北部,36°41.8′N,140°38.8′E,6 km,3.8,震度３
2017/04/01,19:43:23.2,石川県能登地方,37°18.7′N,136°46.1′E,5 km,3.6,震度３
2017/03/25,01:43:28.1,沖縄本島近海,26°50.1′N,127°11.9′E,87 km,5.1,震度３
2017/03/14,12:56:50.2,日高地方西部,42°48.9′N,142°42.0′E,82 km,4.7,震度３
2017/03/12,04:57:47.6,福島県沖,37°30.7′N,141°32.5′E,46 km,5.4,震度４
2017/03/12,03:48:42.1,種子島近海,30°59.3′N,130°25.1′E,136 km,5.1,震度３
2017/03/11,21:10:25.5,鹿児島湾,31°23.0′N,130°37.1′E,10 km,3.9,震度３
2017/03/10,11:23:05.4,網走地方,43°57.7′N,144°59.5′E,6 km,3.4,震度３
2017/03/08,01:08:19.0,青森県東方沖,41°28.9′N,141°58.7′E,65 km,5.2,震度３
2017/03/06,05:26:09.1,熊本県熊本地方,32°33.9′N,130°42.0′E,10 km,3.9,震度３
2017/03/05,19:04:42.2,福島県沖,37°11.4′N,141°25.9′E,29 km,4.6,震度３
2017/03/05,10:18:54.5,千葉県北東部,35°44.1′N,140°43.2′E,52 km,4.7,震度３
2017/03/03,17:27:37.0,根室半島南東沖,43°04.6′N,145°28.7′E,93 km,4.9,震度３
2017/03/03,00:08:18.5,日向灘,32°36.4′N,132°06.9′E,37 km,3.9,震度３
2017/03/02,23:53:42.6,日向灘,32°38.7′N,132°07.9′E,37 km,5.3,震度４
2017/03/01,15:43:03.9,福島県沖,37°31.4′N,141°27.2′E,49 km,4.9,震度３
2017/02/28,16:49:02.0,福島県沖,37°30.8′N,141°22.0′E,52 km,5.7,震度５弱
2017/02/28,08:50:01.6,宮崎県南部山沿い,31°55.7′N,131°13.9′E,15 km,3.7,震度３
2017/02/27,18:10:39.1,日高地方東部,42°20.9′N,143°02.9′E,52 km,4.7,震度３
2017/02/27,00:03:33.2,福島県沖,37°04.0′N,141°10.8′E,50 km,4.9,震度４
2017/02/26,23:54:45.4,福島県沖,37°10.1′N,141°10.7′E,62 km,4.2,震度３
2017/02/26,05:14:01.3,鳥取県中部,35°25.4′N,133°50.0′E,9 km,3.0,震度３
2017/02/22,18:12:52.5,熊本県熊本地方,32°47.7′N,130°40.3′E,10 km,3.4,震度３
2017/02/19,18:19:29.8,千葉県北東部,35°43.8′N,140°39.8′E,52 km,5.4,震度４
2017/02/19,15:01:53.6,福島県沖,37°42.5′N,141°46.8′E,65 km,4.2,震度３
2017/02/17,10:18:05.3,宮古島近海,24°49.0′N,125°22.8′E,50 km,4.4,震度３
